,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,isCanceled,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online,date,maxtemp,mintemp,sunhour,totalsnow
52444,30,2018,5,15,2,3,0,2,0,0,0,0,97.71,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-05-15,15,9,13.0,0.0
52453,10,2018,5,15,4,9,0,2,0,0,0,0,129.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-05-15,15,9,13.0,0.0
52462,102,2018,5,15,6,13,0,1,0,0,0,0,132.6,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-05-15,15,9,13.0,0.0
52471,30,2018,5,15,2,2,0,2,0,0,0,0,126.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-05-15,15,9,13.0,0.0
52480,42,2018,5,15,2,2,0,2,2,0,0,0,198.9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2018-05-15,15,9,13.0,0.0
52489,114,2018,5,15,2,1,0,3,0,0,0,0,115.6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2018-05-15,15,9,13.0,0.0
52498,65,2017,12,30,1,4,0,2,0,0,0,0,96.2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52507,15,2017,12,30,0,2,1,2,0,0,0,0,146.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52516,9,2017,12,30,0,3,0,2,0,0,0,0,142.67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52525,97,2017,12,30,0,4,0,2,0,0,0,0,61.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52534,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52543,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52552,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52561,29,2017,12,30,2,4,0,2,0,0,0,0,84.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52570,68,2017,12,30,0,3,0,2,0,0,0,0,93.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52579,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52588,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52597,86,2017,12,30,0,3,0,2,0,0,0,0,81.86,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52606,1,2017,12,30,0,4,0,2,2,0,0,0,205.5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52615,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52624,97,2017,12,30,0,2,0,2,0,0,0,0,70.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52633,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52642,81,2017,12,30,0,4,0,2,0,0,0,0,110.8,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52651,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52660,89,2017,12,30,0,3,0,2,0,0,0,0,79.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52669,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52678,54,2017,12,30,1,4,0,2,0,0,0,0,118.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52687,93,2017,12,30,0,3,0,2,0,0,0,0,118.19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52696,69,2017,12,30,0,4,0,2,0,0,0,0,111.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52705,1,2017,12,30,0,3,0,2,0,0,0,0,197.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52714,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52723,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52732,86,2017,12,30,0,3,0,2,0,0,0,0,81.86,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52741,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52750,55,2017,12,30,0,3,0,2,0,1,1,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52759,54,2017,12,30,1,4,0,2,0,1,1,0,117.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52768,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52777,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52786,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52795,97,2017,12,30,0,4,0,2,0,0,0,0,61.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52804,7,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52813,1,2017,12,30,0,3,0,2,0,0,0,0,127.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52822,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52831,1,2017,12,30,0,1,1,2,0,0,0,0,114.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52840,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52849,15,2017,12,30,1,4,0,2,0,0,0,0,123.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52858,58,2017,12,30,0,2,0,2,0,0,0,0,127.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52867,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52876,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52885,99,2017,12,30,0,3,0,2,0,0,0,0,60.67,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52894,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52903,86,2017,12,30,0,3,0,2,0,0,0,0,81.86,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52912,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52921,4,2017,12,30,0,2,0,2,0,0,0,0,137.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
52930,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52939,93,2017,12,30,0,4,0,2,0,0,0,0,61.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52948,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52957,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52966,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52975,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52984,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
52993,160,2017,12,30,0,3,0,2,0,0,0,0,70.67,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53002,11,2017,12,30,0,4,0,2,1,0,0,0,113.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53011,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53020,72,2017,12,30,0,4,0,2,0,0,0,0,110.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53029,11,2017,12,30,0,4,0,2,0,0,0,0,129.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53038,49,2017,12,30,0,4,0,2,1,0,0,0,85.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53047,61,2017,12,30,1,4,0,2,0,1,1,0,111.6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53056,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53065,12,2017,12,30,2,4,0,2,0,0,0,0,118.67,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53074,63,2017,12,30,0,2,1,2,0,0,0,0,133.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53083,56,2017,12,30,1,4,0,2,0,0,0,0,105.75,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53092,0,2017,12,30,0,4,0,2,0,0,0,0,122.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53101,56,2017,12,30,1,4,0,2,0,0,0,0,105.75,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53110,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53119,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53128,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53137,148,2017,12,30,1,4,0,2,0,0,0,0,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53146,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53155,160,2017,12,30,0,3,0,2,0,0,0,0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53164,54,2017,12,30,1,4,0,2,0,0,0,0,118.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53173,72,2017,12,30,0,3,0,2,0,0,0,0,120.67,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53182,81,2017,12,30,0,4,0,2,0,0,0,0,110.8,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53191,63,2017,12,30,0,4,0,2,0,0,0,0,115.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2017-12-30,6,-1,8.8,0.0
53200,49,2017,12,30,0,4,0,2,0,0,0,0,71.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017-12-30,6,-1,8.8,0.0
53209,19,2018,9,23,1,2,0,2,0,0,0,0,139.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53216,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53223,151,2018,9,23,2,2,0,3,0,0,0,0,162.0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53230,19,2018,9,23,1,2,0,1,0,0,0,0,139.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53237,115,2018,9,23,1,2,0,2,0,0,0,0,96.33,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53244,19,2018,9,23,1,2,0,2,0,0,0,0,139.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53251,27,2018,9,23,1,2,0,2,2,0,0,0,234.35,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53258,18,2018,9,23,0,2,0,1,0,0,0,0,149.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53265,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53272,116,2018,9,23,0,1,0,2,0,0,0,0,135.9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53279,275,2018,9,23,1,2,0,2,0,0,0,0,118.2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53286,110,2018,9,23,0,2,0,3,0,0,0,0,168.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53293,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53300,254,2018,9,23,0,2,0,1,0,0,0,0,119.7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53307,18,2018,9,23,0,2,0,2,0,0,0,0,130.13,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53314,141,2018,9,23,0,2,0,2,0,0,0,0,123.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53321,111,2018,9,23,1,2,0,2,1,0,0,0,154.5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53328,217,2018,9,23,1,2,0,3,0,0,0,0,159.3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53335,163,2018,9,23,0,1,0,2,0,0,0,0,126.9,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53342,19,2018,9,23,0,2,0,1,0,0,0,0,149.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53349,141,2018,9,23,0,2,0,2,1,0,0,0,147.6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53356,126,2018,9,23,2,3,0,2,0,0,0,0,129.6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53363,21,2018,9,23,0,2,1,2,0,0,0,0,170.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53370,112,2018,9,23,1,2,0,2,0,0,0,0,134.1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53377,141,2018,9,23,0,2,0,2,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53384,193,2018,9,23,0,2,0,2,0,0,0,0,126.9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53391,141,2018,9,23,0,2,0,2,0,0,0,0,128.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53398,141,2018,9,23,0,2,0,2,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53405,151,2018,9,23,2,2,0,3,0,0,0,0,162.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53412,141,2018,9,23,0,2,0,2,0,0,0,0,128.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53419,29,2018,9,23,1,2,0,2,2,0,0,0,210.03,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53426,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53433,144,2018,9,23,2,3,0,2,0,0,0,0,129.6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53440,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53447,18,2018,9,23,0,1,0,1,0,0,0,0,159.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53454,214,2018,9,23,1,2,0,2,0,0,0,0,80.75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-09-23,25,18,12.0,0.0
53461,19,2018,9,23,0,2,1,2,0,0,0,0,158.0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53468,141,2018,9,23,0,2,0,3,0,0,0,0,163.8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53475,141,2018,9,23,0,2,0,2,0,0,0,0,128.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53482,141,2018,9,23,0,2,0,2,1,0,0,0,147.6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53489,163,2018,9,23,0,1,0,3,0,0,0,0,159.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53496,19,2018,9,23,0,2,0,2,0,0,0,0,139.13,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53503,19,2018,9,23,1,2,0,2,0,0,0,0,159.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53510,12,2018,9,23,1,2,0,2,0,0,0,0,134.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53517,206,2018,9,23,2,3,0,2,0,0,0,0,132.77,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53524,144,2018,9,23,2,3,0,2,0,0,0,0,129.6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-09-23,25,18,12.0,0.0
53531,5,2018,4,4,1,1,0,1,0,0,0,0,95.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53540,111,2018,4,4,1,3,0,2,0,0,0,0,82.45,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53549,147,2018,4,4,1,3,0,2,0,0,0,0,96.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53558,147,2018,4,4,1,3,0,0,2,0,0,0,6.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53567,101,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53576,20,2018,4,4,1,1,0,1,0,0,0,0,89.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53585,113,2018,4,4,1,3,0,2,0,0,0,0,63.49,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53594,101,2018,4,4,1,2,0,1,0,0,0,0,70.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53603,35,2018,4,4,1,3,0,2,0,0,0,0,85.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53612,59,2018,4,4,1,3,0,2,0,0,0,0,80.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53621,91,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53630,0,2018,4,4,1,0,0,1,0,1,0,2,65.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2018-04-04,11,6,9.8,0.0
53639,13,2018,4,4,1,1,0,1,0,0,0,0,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53648,87,2018,4,4,1,2,0,2,0,0,0,0,79.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53657,5,2018,4,4,1,3,0,1,0,0,0,0,95.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2018-04-04,11,6,9.8,0.0
53666,5,2018,4,4,3,5,0,2,0,0,0,0,126.75,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53675,101,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53684,88,2018,4,4,1,2,0,2,0,0,0,0,90.3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53693,91,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53702,101,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2018-04-04,11,6,9.8,0.0
53711,79,2018,4,4,1,2,0,2,2,0,0,0,162.3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53720,93,2018,4,4,1,3,0,2,0,0,0,0,73.74,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53729,101,2018,4,4,1,2,0,2,0,0,0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
53738,1,2018,4,4,1,1,0,2,0,0,0,0,89.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018-04-04,11,6,9.8,0.0
